model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,traveledge,sccs,maxscc,size1,size2,size3,parstep,push,vs,es,date
wiki-link-en,12150977,378142420,fasttrim,4,342.526,37099,-1,37099,3080491,0,0,0,0,0,4096,6,100,100,2021-06-03.00:34:12
com-friendster,124836180,1806067135,trim,4,2703088.691,124836180,12582,124836180,39253399843,0,0,0,0,0,4096,-1,100,100,2021-06-03.01:21:00
twitter,41354195,1440030213,trim,4,1675.794,4157028,6,4157028,57599659,0,0,0,0,0,4096,-1,100,100,2021-06-03.01:22:15
twitter_mpi,52579683,1963263821,trim,4,2378.394,9213375,7,9213375,78911296,0,0,0,0,0,4096,-1,100,100,2021-06-03.01:23:55
wiki-link-en,12150977,378142420,trim,4,270.656,37099,4,37099,12269058,0,0,0,0,0,4096,-1,100,100,2021-06-03.01:24:09
com-friendster,124836180,1806067135,ac4trim,4,61109.579,124836180,-1,124836180,1717844621,0,0,0,0,0,4096,681,100,100,2021-06-03.01:27:02
twitter,41354195,1440030213,ac4trim,4,703.723,4157028,-1,4157028,23932391,0,0,0,0,0,4096,293,100,100,2021-06-03.01:28:15
twitter_mpi,52579683,1963263821,ac4trim,4,619.018,9213375,-1,9213375,15632376,0,0,0,0,0,4096,15219,100,100,2021-06-03.01:29:53
wiki-link-en,12150977,378142420,ac4trim,4,21.131,37099,-1,37099,87475,0,0,0,0,0,4096,33,100,100,2021-06-03.01:30:07
com-friendster,124836180,1806067135,fasttrim,6,60731.856,124836180,-1,124836180,1819904487,0,0,0,0,0,4096,611,100,100,2021-06-03.01:32:58
twitter,41354195,1440030213,fasttrim,6,1666.709,4157028,-1,4157028,7354744,0,0,0,0,0,4096,271,100,100,2021-06-03.01:34:10
twitter_mpi,52579683,1963263821,fasttrim,6,1728.061,9213375,-1,9213375,9682163,0,0,0,0,0,4096,327,100,100,2021-06-03.01:35:47
wiki-link-en,12150977,378142420,fasttrim,6,320.372,37099,-1,37099,2089122,0,0,0,0,0,4096,6,100,100,2021-06-03.01:36:01
com-friendster,124836180,1806067135,trim,6,1901833.991,124836180,12312,124836180,25849646276,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:09:35
twitter,41354195,1440030213,trim,6,1357.029,4157028,6,4157028,39198510,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:10:45
twitter_mpi,52579683,1963263821,trim,6,1734.164,9213375,7,9213375,55568730,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:12:22
wiki-link-en,12150977,378142420,trim,6,246.014,37099,4,37099,8414991,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:12:36
com-friendster,124836180,1806067135,ac4trim,6,60045.142,124836180,-1,124836180,1708027449,0,0,0,0,0,4096,681,100,100,2021-06-03.02:15:21
twitter,41354195,1440030213,ac4trim,6,605.56,4157028,-1,4157028,15992950,0,0,0,0,0,4096,293,100,100,2021-06-03.02:16:30
twitter_mpi,52579683,1963263821,ac4trim,6,485.678,9213375,-1,9213375,11008105,0,0,0,0,0,4096,15219,100,100,2021-06-03.02:18:08
wiki-link-en,12150977,378142420,ac4trim,6,19.478,37099,-1,37099,57978,0,0,0,0,0,4096,33,100,100,2021-06-03.02:18:21
com-friendster,124836180,1806067135,fasttrim,8,60234.429,124836180,-1,124836180,1813951868,0,0,0,0,0,4096,610,100,100,2021-06-03.02:21:11
twitter,41354195,1440030213,fasttrim,8,1427.9,4157028,-1,4157028,5447784,0,0,0,0,0,4096,260,100,100,2021-06-03.02:22:21
twitter_mpi,52579683,1963263821,fasttrim,8,1543.579,9213375,-1,9213375,6814719,0,0,0,0,0,4096,327,100,100,2021-06-03.02:24:00
wiki-link-en,12150977,378142420,fasttrim,8,281.052,37099,-1,37099,1552544,0,0,0,0,0,4096,6,100,100,2021-06-03.02:24:12
com-friendster,124836180,1806067135,trim,8,1583121.341,124836180,12161,124836180,19091905240,0,0,0,0,0,4096,-1,100,100,2021-06-03.02:52:26
