model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,size1,size2,size3,date
wiki_link_en,12150977,378142420,trim,6,177.835,37102,4,37102,37102,37102,0,0,2019-11-05.12:37:18
wiki-links,5710993,130160392,trim,6,95.939,7415,4,7415,7415,7415,0,0,2019-11-05.12:37:22
wiki_talk_en,2987536,24981163,trim,6,20.403,2611598,7,2611598,2611598,2611598,0,0,2019-11-05.12:37:24
youtube-links,1138500,4942297,trim,6,10.563,600414,6,600414,600414,600414,0,0,2019-11-05.12:37:24
baidu,2141301,17794839,ufscc,6,207.601,-1,-1,-1,1503004,1480722,18688,2473,2019-11-05.12:37:25
-bakery.6,11845035,40400559,ufscc,6,654.341,-1,-1,-1,2636212,2636197,0,0,2019-11-05.12:37:27
-cambridge.6,3354295,9483191,ufscc,6,136.944,-1,-1,-1,8413,8412,0,0,2019-11-05.12:37:28
dbpedia,3966925,13820853,ufscc,6,120.687,-1,-1,-1,3636316,3587274,24933,8868,2019-11-05.12:37:28
dbpedia-link,18268993,172183984,ufscc,6,2366.917,-1,-1,-1,14459547,14450686,7201,1107,2019-11-05.12:37:36
-leader-filters.7,26302351,91692858,ufscc,6,525.678,-1,-1,-1,26302351,26302351,0,0,2019-11-05.12:37:40
livej,4847571,68993773,ufscc,6,1201.571,-1,-1,-1,971232,947776,16875,3280,2019-11-05.12:37:44
patent,3774768,16518948,ufscc,6,254.873,-1,-1,-1,3774768,3774768,0,0,2019-11-05.12:37:45
pokec,1632804,30622564,ufscc,6,562.734,-1,-1,-1,325893,323799,1904,151,2019-11-05.12:37:46
random,10000001,100000000,ufscc,6,3865.847,-1,-1,-1,877,876,0,0,2019-11-05.12:37:54
rmat,9999994,100000000,ufscc,6,3431.656,-1,-1,-1,2247072,2247071,0,0,2019-11-05.12:38:01
ssca2,1048577,157877986,ufscc,6,622.184,-1,-1,-1,31,29,1,0,2019-11-05.12:38:06
wiki_link_en,12150977,378142420,ufscc,6,3466.023,-1,-1,-1,4852900,4846174,3205,1301,2019-11-05.12:38:20
wiki-links,5710993,130160392,ufscc,6,1939.871,-1,-1,-1,2002220,1998569,2692,605,2019-11-05.12:38:26
