model,N,M,alg,workers,mstime,delete,trimrepeat,trimdelete,sccs,maxscc,size1,size2,size3,date
dbpedia-link,18268993,172183984,trim,4,308.206000,8143619,5,8143619,8143619,8143619,8143619,0,0,2019-11-08.13:07:36
-leader-filters.7,26302351,91692858,trim,4,1679.457000,26302351,73,26302351,26302351,26302351,26302351,0,0,2019-11-08.13:07:41
livej,4847571,68993773,trim,4,175.875000,592952,8,592952,592952,592952,592952,0,0,2019-11-08.13:07:43
patent,3774768,16518948,trim,4,177.519000,3774768,22,3774768,3774768,3774768,3774768,0,0,2019-11-08.13:07:44
pokec,1632804,30622564,trim,4,36.733000,212042,5,212042,212042,212042,212042,0,0,2019-11-08.13:07:45
random,10000001,100000000,trim,4,108.006000,455,2,455,455,455,455,0,0,2019-11-08.13:07:49
rmat,9999994,100000000,trim,4,307.390000,2203713,6,2203713,2203713,2203713,2203713,0,0,2019-11-08.13:07:54
ssca2,1048577,157877986,trim,4,28.844000,11,2,11,11,11,11,0,0,2019-11-08.13:07:58
wiki_link_en,12150977,378142420,trim,4,241.016000,37102,4,37102,37102,37102,37102,0,0,2019-11-08.13:08:09
wiki-links,5710993,130160392,trim,4,124.388000,7415,4,7415,7415,7415,7415,0,0,2019-11-08.13:08:13
wiki_talk_en,2987536,24981163,trim,4,22.610000,2611598,7,2611598,2611598,2611598,2611598,0,0,2019-11-08.13:08:16
youtube-links,1138500,4942297,trim,4,12.150000,600414,6,600414,600414,600414,600414,0,0,2019-11-08.13:08:16
baidu,2141301,17794839,ufscc,4,322.235000,-1,-1,-1,1503004,-1,1480722,18688,2473,2019-11-08.13:08:17
-bakery.6,11845035,40400559,ufscc,4,828.534000,-1,-1,-1,2636212,-1,2636197,0,0,2019-11-08.13:08:20
-cambridge.6,3354295,9483191,ufscc,4,170.587000,-1,-1,-1,8413,-1,8412,0,0,2019-11-08.13:08:20
dbpedia,3966925,13820853,ufscc,4,163.619000,-1,-1,-1,3636316,-1,3587274,24933,8868,2019-11-08.13:08:21
dbpedia-link,18268993,172183984,ufscc,4,3271.112000,-1,-1,-1,14459547,-1,14450686,7201,1107,2019-11-08.13:08:30
-leader-filters.7,26302351,91692858,ufscc,4,633.314000,-1,-1,-1,26302351,-1,26302351,0,0,2019-11-08.13:08:34
livej,4847571,68993773,ufscc,4,1851.980000,-1,-1,-1,971232,-1,947776,16875,3280,2019-11-08.13:08:38
patent,3774768,16518948,ufscc,4,358.705000,-1,-1,-1,3774768,-1,3774768,0,0,2019-11-08.13:08:39
